Start_Year,count,Genre,Total,Top_Anime
1961.0,1,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1962.0,0,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1963.0,1,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1964.0,2,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1965.0,0,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1966.0,0,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1967.0,0,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1968.0,1,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1969.0,1,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1970.0,0,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1971.0,1,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1972.0,0,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1973.0,0,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1974.0,1,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1975.0,0,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1976.0,2,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1977.0,0,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1978.0,0,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1979.0,0,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1980.0,0,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1981.0,0,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1982.0,1,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1983.0,0,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1984.0,0,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1985.0,0,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1986.0,0,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
